score,city,title,review
3,Parma,"I tried to like this, but...","i love piano ensembles, and jason is very talented, but i sure don't enjoy anything on this recording. i kept it in the cd player for five days straight, and for me anyway, there is too much pointless noodling around. i have no problem with the ""new take on the blues"", but what take? some sparse twanging, some nervous bass lines that i simply am not moved by and can't connect with at all, and some pounding. perhaps this is just not my kind of music. but in fairness to myself, i can handle adventure, dissonance, noise, looseness; this just doesn't amount to much. i sure love the playing on black stars and the live badwagon recording (except i still get too distracted by the nervous bass that seems like somebody playing in a diferent band in the next room), but this cd leaves me flat. i'll watch jason because he is certainly ""the real deal"", no doubt about that, but i'd pass on this one."
2,Kenmore,DISAPPOINTED,THOUGHT THIS WOULD BE A GOOD QUALITY KNIFE AS MOST ARE BY THIS MFG..BUT IT PROVED TO BE A CHEAP VERSION.
3,Parma,Dated but Clive doesn't disappoint,"i kind of laugh at all the smoking that goes on in this book, but it was good. i love clive and have read most all of dirk's adventures. not sure how i missed this one, but glad i found it. short and sweet."
3,Eastchester,An oldie but goodie,"Current television shows are more sophisticated and complex plots are standard. However, the first generation of westerns deserve a look. While Have Gun - Will Travel is a show I grew up with and remembering my youth is a part of the attraction, it is one of the first of its kind and laid down the traditions of a real ""good guys win out over the bad guys"" shows. Single tread plots are standard, but the acting is good and you will see many of the pioneers of television in their early roles."
2,Sayreville,smoothies not so smooth,"although this blender is beautiful, mine wasn't able to perform even the most basic of blender tasks adequately. despite several minutes of full-speed blending, it left a banana smoothy full of banana chunks big as marbles. even my old $25 blender could handle a soft banana! as decor, it's fine, but as a blender, it doesn't cut the mustard (or the banana)."
2,Bridgewater,That's all ????,"As a user of v.X, I was looking forward to this. Well, as muchas anyone looks forward to new MS software. Maybe a root canal wouldbe more fun.I just don't see it. They want me to cough up $350 for a some really minorfeature additions? Even on the MS webpage, they have a hard time findingmore than 1-2 bullet 'enhancements' for each component. And I'd haveto believe that NoteTaker or NoteBook is a better application than whateverMS's v1 of their Notebook facility is. And don't forget the all important Messengerintegration :(Very disappointed."
2,Bridgewater,Unengaging,"I tried to give this a chance, because it's set in Sweden, but after the 50-page test, I saw that it was just another boring police novel. (DNF)"
5,Parma,SO CUTE! Love it!,"i received this book in a timely fashion. it also is in excellent condition. my 1 1/2 year old son loves all the interactive activities in it. there are pockets, flips, flaps, velcro, sliders, and a mirror. my son loves digging out the surprises that are in the pockets. would definitely by from again!"
3,Bridgewater,DOES NOT WORK WITH WINDOWS XP!!!,"No idea if it's any good b/c though it says it works with Windows XP, as several others have also said, it does not, it crashes the system repeatedly."
2,Marysville,not what I expected,"It's not the color I expected, but it's ok I will wear it to see how much I like it"
2,Pensacola,Stiff vocals and music,"Grace Jones albums are like a box of chocolate. You never know what you are going to get. Grace Jones started out as a disco queen and then moved into new wave and finally came back to pop.This is Grace Jones' first album. It is disco versions of show tunes and original songs. Her voice is really stiff. It does not go well with the material. She would use her unique sound much better in her new wave material, such as Warm Leatherette. The music is also very stiff. It has the basic disco beat, but there is no interest to the music. It is all very boring.On her next disco attempt, Fame, she would open up a little more and the results are more satisfying."
4,Elmwood Park,Excellent Information!,"I got this book for my sister -- at half the price stores are charging. She's amazed at the material contained (which doctors don't seem to know anything about). I have a copy of my own and am ""into it"" week after week. I've tried many of the suggestions given and they do work!"
4,Pensacola,Slender volume but most interesting read,"At a young age, the author Clara Pinto-Correia heard about the long extinct dodo and became fascinated by the bird's fate. The end result is a well-researched and well-written text that takes the reader from the shores of Europe to a small chain of islands where the dodo and it's genetic cousins made their homes.Sadly, the dodo and it's genetic cousins were doomed to extinction with the arrival of Europeans (starting with the Portuguese). The plump, flightless animals were slow breeders with a single offspring per mating season and no natural enemies. Add ravenous creatures (Homo sapiens included) into their safe mircosphere and diaster was assured.Pinto-Correia traces the few captive dodos in Euorpe and the fates of their remains. Now, the only things the modern world has of the dodo are a scattering of bones, some paintings and sketches and the cultural understanding that to be a dodo is to be doomed.A must read for the natural history reader or devotee."
5,Fridley,Does the job,Would have given it 5 stars except that the Velcro should have gone a bit tighter... A my mat is not a fat one.
3,Sun City Center,"Very, very good","I first heard, and bought, this album back in the 1970's. I really liked it then and I am glad to be able to have it again. It is a cheery upbeat album with a couple of lead singers that harmonize well."
4,Parma,Finally the story moves ahead!,"Just before this book came out, I decided to re-read the first 8. Books 1-4 were excellent, exciting, and impossible to put down, and I noticed a lot that I didn't see the first time. Books 5-8 slow down significantly, and I found my self frustrated by reading an entire book without hearing about one or two of the major characters. Finally book 9 moves things along!! Once again the book is surprising, eventful, and leaves on an up note. I disagree with the poor reviews I read prior to reading this book."
2,Eastchester,"Flat characters, bad science, weak, unbelievable plot","Sphere is the same as all of Crichton's books. A group of people go into a novel environment (lost jungle city/dinosaur inhabited island/spaceship under water) get chased by monsters, everything blows up, solving the problem.The science in Sphere is highly suspect, the characters are flat, the plot is unbelievable. After years of students telling me how great the book was and not being able to read it, I finally forced myself to get beyond the first couple of chapters. The story didn't get any better. I still didn't care about the characters. The plot was almost page-by-page predictable.Forget this book."
2,Fridley,More than an erotic novel. Hold on to your copy,"This book is basically soft pornography in a western setting. Hold onto your copy because it's hard to find and expensive, I suppose due to the fact that erotic lesbian novels are not the kind of thing republicans like to brag about writing and it may have been held back from press, hence not a lot of copies are out there. Personally I find that rediculous, and it hasn't stopped a few from getting out anyhow. There's some sexual violence and lesbianism running throughout the story, but nothing terribly shocking. I suppose if you like soft porn or lesbian stories, with a touch of violence, and the old west, you might enjoy this tale. It's only worth buying for the political hypocrisy value, not as a crafted piece of literature imho."
4,Pensacola,No other book compares,"I am still amazed that this book is published and out on shelves and covers what it does. It goes into components, flash remoting, shared libraries, drawing API, and many other features that most MX books are lacking. Flash Remoting alone is a reason to buy this book. I am also pleased to see that New Riders has put out a book that I can consider a desktop reference. It has a quick reference in the back covering Flash MX objects, shortcuts, and more. I would suggest taking a look at the Table of Contents and you will see all the neat things this book covers."
2,Pensacola,Doesn't stand up to the competition,"I suppose I can't expect the world from a $6 thermometer but it doesn't seem to be able to stand up with even the slightest nudge on the RACK (not the therm). Quite the problem unless you have the feather touch taking pans in and out of the oven. Not to have all my hopes dashed, it does tell pretty accurate temp when it is upright. The hanging tab works great if you have the room to hang it, not an option for me since I often use the bottom rack. If polder beefed up the bottom stand or added some counter weight, this would be a good little thermometer. Until then, keep your long handled tongs handy to pick it up off of the element."
2,Brookfield,A Look at a Seperate Peace,"It shoudn't take so may words to describe this book. Of cousre if you think their should be a lot of words in this review, then you will probably enjoy this book. The use of extreme desricption ruined what could have been a good book. To many words ruined this review don't you think?"
5,Burton,Canon ink,Every time I order these ink cartridges I never have a problem with the performance. My prints are always crisp and sharp looking.
1,Bridgewater,Swimsuit,Size was too small. I ordered the size I have bought in similar suits yet this one was very small. I had to return it.
3,Fridley,BRILLIANT,Forget all the bad reviews. This is the album where Mayhem finally got it together. This is the greatest black metal album ever recorded all the way.
3,Bridgewater,WTF Happened?,"This is not about Riverdance.This is about what this disc did to murder it.I popped it in, expecting to see my favorite dance scenes (while conveiniently skipping the singing), when all of a sudden I'm at the finale. All I could say was ""WTF?!"", ""WTH?!"", or words to that effect.This ""SuperBit"" edition cuts out half -- HALF -- of the scenes this performance had to offer, including (but certainly not limited to) Riverdance and Trading Taps.Not only that, but (unless the ""high def"" only works for high-end TVs) the video quality is equal to my old VHS copy.I sincerely hope this problem only occurs on my copy, but I suggest to get a refund webpage ready, because the atrocious product I received royally screws this great perform up the ---!"
4,New Windsor,What a Story Maccarrone Tells!,"I just finished Abigail's Lake - and WOW! It's the best book I have read in a very long time. By the time I got to the third chapter, he had grabbed me so totally that I couldn't put the book down until I finished it!Maccarrone is an excellent writer. I can clearly see his book being translated to the big screen, and if I were a movie producer, I'd grab the rights. The suspense and drama built into his style are naturals. I hope he comes out with another page-turner real soon!"
5,Eastchester,"Good, but one flaw...","The iron is very good for the price I paid. Steam feature is perfect and it is comfortable in my hand. The only problem is the cord did not retract after the first use, so I am forced to wrap it around the unit to store. Not a big deal, but having a cord retractor would have been nice and it was part of the reason I chose this iron."
2,Pensacola,Not fun at all.,"After reading the review of A. Scott from London, I felt that I just had to throw in my 2 cents worth. I absolutely agree with Mr Scott. More irritating for me than a history lesson being recited, was the one dimensional charaters. I just didn't find any character believable, and really couldn't give a crap whether they lived or died. I knew very little of Atlantis before reading this, but apart from the one or two facts I learned, I have to say, I have wasted a week's reading time."
1,Holt,Terrible book.,"This is not a good book. This was assigned to me for a business school class. I'm one of those people that really get into the subject matter and into learning. But, if you are going to buy this for self-improvement, try something else.Here is why:1. The writing is boring. It's extremely hard to get through each chapter.2. The sections that make up each chapter don't seem to relate to each other. They don't seem to make sense. At least to me."
4,Sayreville,All the wino's agree - it's GREAT!,It charges fast and lasts a long time. Removes all of the cork which is a MUST. AND it looks great on the counter!
1,Lancaster,Avoid use with smart media cards,Use of this product has resulted in the unusability of my two smart media cards in the past 24 hours. The company's FAQ page in their tech support page states that this is due to old firm ware. I cannot find a solution to this problem online.
4,Fort Lauderdale,Classic Western,"This is Clint Eastwood at his finest as opposed to talking to a chair at the Republican National Convention. The movie is exciting, fun, and funny in places with a great sound track. It's a must see for Western fans. It's almost as good as Unforgiven."
1,Pensacola,i hate the time-out,"i liked this heating pad...until the blinking light came on. i sometimes use a heating pad all evening. why should i have to turn it back on every 15 minutes? very annoying. mine heats well, but won't stay on. A mistake i won't make again."
4,Sun City Center,carefully crafted and intriguing,"This book takes a little while to get going, because there is a lot of description and not as much action in the beginning, but it is worth it because Ms. Hoffman creates her setting so painstakingly and convincingly. The book deals with the cruelties and class rifts that occur in a private school and the working-class town where the school is located. The book has riveting images and strong, believable characters. It will probably give some parents second thoughts about sending their children to private school, especially since some of the hazing rituals probably had some grounding in reality."
1,New Windsor,In the dark!!!,"I heard this album about a week ago,my friend lent it to me and I listened to it it was a very weak production of what we call nu-rap.The song with Busta was off the hook and I liked one other song that was about it.I have listened to rap all my life,I'm 27 now and take it from me do not buy this,it sounds like a rush job.They tried to throw together some beats and put it out.They can rap no doubt but it sounds thrown together.HATED IT!!!"
2,Mansfield,Horrible,"DVD is absolutely horrible. DVD scratched, freezes does not play and was copied. Not in the original box. I was duped."
3,Burton,Fifa,Game was in perfect condition! Easily able to play hours on hours of this game. The best fifa I have played. Go Liverpool!
3,Annapolis,God will provide in time of great need!,"Mr. Walker has been thru many trials in life, and his book is another great testimony of how God is faithful and will provide to those who seek Him first. I highly recommend this book, especially if you are going thru a major life changes such as a job loss or divorce. I have also read ""Starting over God's way."" by Mr. Walker. No matter how much you have stumbled in the past or even turned your back on God, He is still right behind you ready to receive you."
3,Kenmore,Data does not transfer at all,"I ordered 6 keychains, all working but none of them connected to computer after applying all setting given on different forums like of ""USB Updates"" etc. I tried on 4 different computers/Laptops. It shows the image beautifully comes by default, but its of no use if you can not transfer your own data."
2,Brookfield,You Get What You Pay For!!!,"The phone charger is pretty standard & works fine. However the phone case is very poorly crafted, and looks like it was made very hastily. The phone lid won't even close properly. I was too embarassed to even send it back. The charger alone was probably worth the ten bucks so that's why I kept both items. I guess I was lured to this item by the price, but as the saying goes you get what you pay for."
2,Holt,Over half of the disks are scratched . . .,"Mash is fine, but this package is abysmal!Who was the idiot jerk who chose to pack these DVDs as they are here? I hope for he to be unemployed now . . . I know that this is not much charitable, but the level of frustration this person has inflinged to us, MASH fans, . . .As uncountable others said before, my set is unusable; over half of the disks are scrathched."
3,Eastchester,Delightful book,"i love this book. i just finished reading it, tears streaming down my face. as with most women, the more i cry in a book the more i love it and i had tears at least 3 times. the powerful writing, unique in several ways, pulled me in and i felt the tension, the mystery (this is not a conventional mystery, so i am talking about the mystery of life and love, the inevitability, though i was not assured of inevitability as i read along)...oh, there are so many things i love about this book. i just know the author had a wonderful time writing it. i loved every single quirky character. i loved the scenery, and of course the bears, alive and sculpted, that wove their ways into my heart."
4,Holt,"more,more,more","I've read every book W. Sarabande has written. Please ,lets have a sequal to Wolves of Dawn, Please, Please, Thank you . My husband has been down in the den six hours so far, still reading it. hopefully he will surface soon ....."
2,Bridgewater,Battery Please,"I think this is nice, but I have yet to find the alkaline battery this requires. I have been to 2 stores and they didn't have the particular kind needed. So if you want to use it right away, don't order it. But if you don't mind driving around to find the battery it needs, then it is probably fine. I should have just driven to a store to get a calculator with a battery."
2,Kenmore,This a boring book,"This is by far the worst book I have ever read. It is about a 13-year old boy who saves a cow and gets a piglet in return. The best part of the book is when Rob goes to Rutland Fair and struggles to see a pervert. This part of the book gives the story line good humor and laughs. I thought it needed more action, or comedy to make it better. This book might be good for Elementary Schools but not for Middle School students who are more mature than this.I do not recommend this to mature kids who enjoy humor and action."
2,Sayreville,Piece of Junk...,"My son ordered one of these carts for his Mom and the cart broke in 2 days. Sent back. Ordered another cart as a replacement and it did not last any longer. Sent it back also. These shabby carts are not assembled well and critical parts are either missing or fall or break. Just plain Junk.On a good note, thank you Amazon for your great RETURN POLICY !"
1,Parma,Disappointed walker,"The belt clip did not hold the recorder in place. I had to hold the recorder instead of weights as I walked. Sound was good, but the tape recorder stopped working after less than 30 days.Instructions on preset channels difficult to understand. My previous Panasonic recorder lasted eight years. What a disappointment this one is!"
4,Brookfield,Good kit,"Just moved to the US from the UK, and needed a multiregion player. I've had a few players before, but this has to have the easiest region free code entry I've come accross - literally took 10 seconds.Apart from that, it's a good quality upconverting player, and the enclosed HDMI lead makes it a bargain. I've not found a disk yet that upsets it, and I've got a fair few that upset quite a few other players.Downsides are the lack of *16 fast forwarding - 2,4, 64 are the only choices, which is a shame as 4 is too slow, and 64 too fast when you want to search for a scene. I can forgive it this however, due to its other qualities."
4,Mansfield,a must for Zappa fans,"A great group of musicians. Dedicated to Zappa's compositions. Ernie Watts solo on How Would You Like To Have A Head Like This, inspired me to play the sax. Quality musicianship throughout, this will not disappoint."
5,Holt,Listen once...put it down...then listen again,"Okay...like a lot of posters here I was at first disappointed with the results of this CD. Being a huge AJ fan, I bought the CD the day it came out and couldn't wait to hear what else he had to offer - especially since the title cut was literally playing in my head day and night. I figured that maybe he asked Alison Krauss to produce the one song and then the rest of the CD would be usual AJ fare.I listened to it one time through and thought...what the @#&%?!I put it down a few days and put it back on my CD player. I feel much better about it now than I did a few days ago. It is a departure of sorts for Alan...not what one would expect. However, I believe this album will bring him some critical acclaim from those who normally don't listen to his usually ""Gone Country-esque"" style. It's pure...it's simple and sometimes understated. But isn't that AJ?"
4,Holt,The Who at their Best.,"Unavailable in Oz, so had to import one of the Greatest Who albums ever.Just an amazing example of Rock and an added bonus with a variation to ""Who Are You?"" I'd never heard before and Keith Moon still playing. What a legend!"
3,Burton,Disappointed,"I expected another wonderful book featuring Kay Scarpetta. Instead I found new characters in a plot that held little suspense, action or inherent interest. Is Patricia tired of Kay? Does she want to move away from her as Doyle did with Holmes? I found the book to be very disappointing and would not recommend it"
4,Pensacola,great book,this is a great book. really goes into detail about the mob and the teamsters.and i can't wait for the movie the irishman.
4,Wausau,Are you kidding - this has got to be in your James collection,"This album is so core, James. If you have Laid, or one of the ""Best of"" albums ... you have finally grown up.You have to own this.The album cover, which smacks of sex and cheapness and rudeness and all of that that only James can weave into such smooth, moving tunesthat you will just put this on autoplay one day and escape from this world into one that is only James' world.Wow."
